Artist,Instruments,First Year Active,Last Year Active,Genres,Labels,Listeners on LastFM,Listeners on spotify,Most popular song listenings on Spotify,Scrobbles,Deezer fans number,Latest Release,Born,Died,Last FM,Wiki,Deezer,Spotify
Ahmad Jamal,Piano,,,"Jazz, modal jazz","OKeh, Parrot, Epic, Argo, Atlantic, Dreyfus, Impulse!, Telarc",234200,360316,5785302,2900000,37860,Endless Sky,2 July 1930 ,,https://www.last.fm/music/Ahmad+Jamal,https://en.wikipedia.org/wiki/Ahmad_Jamal,https://www.deezer.com/us/artist/5135,https://open.spotify.com/artist/6gc6oo3u2f7SqTd4mhe81O
Sonny Clark,Piano,1953,1963,"Jazz, hard bop",Blue Note,145400,167120,8196717,939100,,Dial 'S' For Sonny,21 July 1931,13 January 1963,https://www.last.fm/music/Sonny+Clark,https://en.wikipedia.org/wiki/Sonny_Clark,https://www.deezer.com/us/artist/215708,https://open.spotify.com/artist/1Sc9ykJB728MAZab1Ocwy8
Ramsey Lewis Trio,"Piano, keyboards",1956,present,"Jazz, jazz-funk, pop","Cadet, Columbia, GRP, Narada, Concord, Hidden Beach",107200,561888,2642813,623900,,True Colours,27 May 1935,,https://www.last.fm/music/Ramsey+Lewis+Trio,https://en.wikipedia.org/wiki/Ramsey_Lewis_Trio,https://www.deezer.com/us/artist/115254042,https://open.spotify.com/artist/4jZOiPysIzYxbDcDEOZmhu
Antônio Carlos Jobim,Piano guitar flute vocals,1956,1994,"Bossa nova, Latin jazz, samba, MPB","Verve, Warner Bros., Elenco, A&M, CTI, MCA, Philips, Decca, Sony",596000,2536397,85778493,10800000,380437,Wonderful World,25 January 1927,8 December 1994,https://www.last.fm/music/Antônio+Carlos+Jobim,https://en.wikipedia.org/wiki/Antônio_Carlos_Jobim,https://www.deezer.com/us/artist/4085,https://open.spotify.com/artist/3pO5VjZ4wOHCMBXOvbMISG
Jimmy Smith,,,,,,313000,776831,10548593,2600000,25043,Endless Sky,,,https://www.last.fm/music/Jimmy+Smith,https://en.wikipedia.org/wiki/Jimmy_Smith_(musician),https://www.deezer.com/us/artist/13925,https://open.spotify.com/artist/5GXruybcLmXPjR9rKKFyS6
Jimmy McGriff,Organ,1960,2007,"Jazz, blues, soul-jazz","Groove Merchant, Sue, Solid State",125400,89891,267331,788100,1407,Live Through This,3 April 1936,24 May 2008,https://www.last.fm/music/Jimmy+McGriff,https://en.wikipedia.org/wiki/Jimmy_McGriff,https://www.deezer.com/us/artist/11304,https://open.spotify.com/artist/1A0QR12gcj2L5hYh1WWDeh
McCoy Tyner,Piano,1960,2020,"Jazz, avant-garde jazz","Impulse!, Blue Note, Milestone, Telarc, McCoy Tyner Music",356200,586805,63931252,2700000,13269,Back To Black And White,11 December 1938,6 March 2020,https://www.last.fm/music/McCoy+Tyner,https://en.wikipedia.org/wiki/McCoy_Tyner,https://www.deezer.com/us/artist/5119,https://open.spotify.com/artist/2EsmKkHsXK0WMNGOtIhbxr
Sérgio Mendes,Piano,1961,present,"Bossa nova, Latin, Latin jazz, jazz, disco, adult contemporary","Capitol, Atlantic, A&M, Elektra, Concord",389000,1357113,35473871,3900000,28566,Come Here Again With My Best Music,11 February 1941 ,,https://www.last.fm/music/Sérgio+Mendes,https://en.wikipedia.org/wiki/Sérgio_Mendes,https://www.deezer.com/us/artist/5615,https://open.spotify.com/artist/65c5si0ePAwkOCn4M35Ho7
Herbie Hancock,Keyboards,1961,present,"Jazz, post-bop, modal jazz, fusion, jazz-funk, electro, classical","Columbia, Blue Note, Warner Bros., Verve",1100000,1776469,43418412,14100000,328645,Back To Black And White,12 April 1940 ,,https://www.last.fm/music/Herbie+Hancock,https://en.wikipedia.org/wiki/Herbie_Hancock,https://www.deezer.com/us/artist/1406,https://open.spotify.com/artist/2ZvrvbQNrHKwjT7qfGFFUW
Chick Corea,"Piano, keyboards, vibraphone, drums",1962,present,"Jazz, jazz fusion, avant-garde jazz, latin jazz, classical, progressive rock","ECM, Polydor, Stretch, Warner Bros.",405200,636596,10184086,4400000,354603,Plays,12 June 1941 ,,https://www.last.fm/music/Chick+Corea,https://en.wikipedia.org/wiki/Chick_Corea,https://www.deezer.com/us/artist/8568,https://open.spotify.com/artist/5olDKSsFhhmwh8UCWwKtpq
Keith Jarrett,Piano,1966,2018,"Jazz, classical, jazz fusion, free improvisation","Atlantic, ECM, Impulse!, Universal Classics",436500,824947,11674098,7200000,398405,"J.S. Bach: The Well-Tempered Clavier, Book I",8 May 1945 ,,https://www.last.fm/music/Keith+Jarrett,https://en.wikipedia.org/wiki/Keith_Jarrett,https://www.deezer.com/us/artist/10611,https://open.spotify.com/artist/0F3Aew9DSd6fb6192K1K0Y
Mulgrew Miller,Piano,1970s,2013,Jazz,"Landmark, Novus, Maxjazz",79500,147761,25124970,321800,980,From Day to Day - Single,13 August 1955,29 May 2013,https://www.last.fm/music/Mulgrew+Miller,https://en.wikipedia.org/wiki/Mulgrew_Miller,https://www.deezer.com/us/artist/351196,https://open.spotify.com/artist/6Zq5ky484xYTgxE6dQ8yHh
Alan Pasqua,Keyboards,1970s,present,"Jazz, rock, jazz fusion","Postcards, Cryptogramophone, Moonjune",10900,27109,1057110,80200,,Soliloquy,28 June 1952 ,,https://www.last.fm/music/Alan+Pasqua,https://en.wikipedia.org/wiki/Alan_Pasqua,https://www.deezer.com/us/artist/129199,https://open.spotify.com/artist/1QDou4hCker2eGblLzIq80
